country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
MN,93,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MU,94,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
NA,95,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
NI,96,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
OM,97,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PY,98,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SV,99,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
XK,100,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ZM,101,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ZW,102,1656633600000,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GY,103,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
LC,104,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MR,105,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SM,106,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WS,107,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BT,108,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
CG,109,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
CV,110,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FO,111,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GG,112,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GN,113,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
KG,114,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MC,115,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MO,116,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PG,117,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
RE,118,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SS,119,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
TL,120,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BQ,121,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BS,122,1656633600000,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
